Scientific Name,IUCN Red List Status,Vernacular Name,Family,Order
Acris crepitans,Least Concern (LC),Northern Cricket Frog,Hylidae,Anura
Acris gryllus,Least Concern (LC),Southern Cricket Frog,Hylidae,Anura
Ambystoma annulatum,Least Concern (LC),Ringed Salamander,Ambystomatidae,Caudata
Ambystoma barbouri,Near Threatened (NT),Streamside Salamander,Ambystomatidae,Caudata
Ambystoma bishopi,Vulnerable (VU),Reticulated Flatwoods Salamander,Ambystomatidae,Caudata
Ambystoma californiense,Vulnerable (VU),California Tiger Salamander,Ambystomatidae,Caudata
Ambystoma cingulatum,Vulnerable (VU),Frosted Flatwoods Salamander,Ambystomatidae,Caudata
Ambystoma gracile,Least Concern (LC),Northwestern Salamander,Ambystomatidae,Caudata
Ambystoma jeffersonianum,Least Concern (LC),Jefferson Salamander,Ambystomatidae,Caudata
Ambystoma laterale,Least Concern (LC),Blue-spotted Salamander,Ambystomatidae,Caudata
Ambystoma mabeei,Least Concern (LC),Mabee's Salamander,Ambystomatidae,Caudata
Ambystoma macrodactylum,Least Concern (LC),Long-toed Salamander,Ambystomatidae,Caudata
Ambystoma maculatum,Least Concern (LC),Spotted Salamander,Ambystomatidae,Caudata
Ambystoma mavortium,Least Concern (LC),Barred Tiger Salamander,Ambystomatidae,Caudata
Ambystoma opacum,Least Concern (LC),Marbled Salamander,Ambystomatidae,Caudata
Ambystoma talpoideum,Least Concern (LC),Mole Salamander,Ambystomatidae,Caudata
Ambystoma texanum,Least Concern (LC),Small-Mouthed Salamander,Ambystomatidae,Caudata
Ambystoma tigrinum,Least Concern (LC),Eastern Tiger Salamander,Ambystomatidae,Caudata
Amphiuma means,Least Concern (LC),Two-toed Amphiuma,Amphiumidae,Caudata
Amphiuma pholeter,Near Threatened (NT),One-toed Amphiuma,Amphiumidae,Caudata
Amphiuma tridactylum,Least Concern (LC),Three-toed Amphiuma,Amphiumidae,Caudata
Anaxyrus americanus,Least Concern (LC),American Toad,Bufonidae,Anura
Anaxyrus baxteri,Extinct in the Wild (EW),Wyoming Toad,Bufonidae,Anura
Anaxyrus boreas,Least Concern (LC),Western Toad,Bufonidae,Anura
Anaxyrus californicus,Endangered (EN),Arroyo Toad,Bufonidae,Anura
Anaxyrus canorus,Endangered (EN),Yosemite Toad,Bufonidae,Anura
Anaxyrus cognatus,Least Concern (LC),Great Plains Toad,Bufonidae,Anura
Anaxyrus debilis,Least Concern (LC),Green Toad,Bufonidae,Anura
Anaxyrus exsul,Vulnerable (VU),Black Toad,Bufonidae,Anura
Anaxyrus fowleri,Least Concern (LC),Fowler's Toad,Bufonidae,Anura
Anaxyrus hemiophrys,Least Concern (LC),Canadian Toad,Bufonidae,Anura
Anaxyrus houstonensis,Endangered (EN),Houston Toad,Bufonidae,Anura
Anaxyrus microscaphus,Least Concern (LC),Arizona Toad,Bufonidae,Anura
Anaxyrus nelsoni,Endangered (EN),Amargosa Toad,Bufonidae,Anura
Anaxyrus punctatus,Least Concern (LC),Red-Spotted Toad,Bufonidae,Anura
Anaxyrus quercicus,Least Concern (LC),Oak Toad,Bufonidae,Anura
Anaxyrus retiformis,Least Concern (LC),Sonoran Green Toad,Bufonidae,Anura
Anaxyrus speciosus,Least Concern (LC),Texas Toad,Bufonidae,Anura
Anaxyrus terrestris,Least Concern (LC),Southern Toad,Bufonidae,Anura
Anaxyrus woodhousii,Least Concern (LC),Woodhouse's Toad,Bufonidae,Anura
Aneides aeneus,Near Threatened (NT),Green Salamander,Plethodontidae,Caudata
Aneides ferreus,Near Threatened (NT),Clouded Salamander,Plethodontidae,Caudata
Aneides flavipunctatus,Near Threatened (NT),Black Salamander,Plethodontidae,Caudata
Aneides hardii,Least Concern (LC),Sacramento Mountains Salamander,Plethodontidae,Caudata
Aneides iecanus,Vulnerable (VU) - Provisional,Shasta Black Salamander,Plethodontidae,Caudata
Aneides klamathensis,Least Concern (LC) - Provisional,Klamath Black Salamander,Plethodontidae,Caudata
Aneides lugubris,Least Concern (LC),Arboreal Salamander,Plethodontidae,Caudata
Aneides niger,Vulnerable (VU) - Provisional,Santa Cruz Black Salamander,Plethodontidae,Caudata
Aneides vagrans,Near Threatened (NT),Wandering Salamander,Plethodontidae,Caudata
Ascaphus montanus,Least Concern (LC),Rocky Mountain Tailed Frog,Ascaphidae,Anura
Ascaphus truei,Least Concern (LC),Pacific Tailed Frog,Ascaphidae,Anura
Batrachoseps aridus,Least Concern (LC),Desert Slender Salamander,Plethodontidae,Caudata
Batrachoseps attenuatus,Least Concern (LC),California Slender Salamander,Plethodontidae,Caudata
Batrachoseps campi,Endangered (EN),Inyo Mountains Salamander,Plethodontidae,Caudata
Batrachoseps diabolicus,Data Deficient (DD),Hell Hollow Slender Salamander,Plethodontidae,Caudata
Batrachoseps gabrieli,Data Deficient (DD),San Gabriel Mountains Slender Salamander,Plethodontidae,Caudata
Batrachoseps gavilanensis,Least Concern (LC),Gabilan Mountains Slender Salamander,Plethodontidae,Caudata
Batrachoseps gregarius,Least Concern (LC),Gregarious Slender Salamander,Plethodontidae,Caudata
Batrachoseps incognitus,Data Deficient (DD),San Simeon Slender Salamander,Plethodontidae,Caudata
Batrachoseps kawia,Data Deficient (DD),Sequoia Slender Salamander,Plethodontidae,Caudata
Batrachoseps luciae,Least Concern (LC),Santa Lucia Mountains Slender Salamander,Plethodontidae,Caudata
Batrachoseps major,Least Concern (LC),Garden Slender Salamander,Plethodontidae,Caudata
Batrachoseps minor,Data Deficient (DD),Lesser Slender Salamander,Plethodontidae,Caudata
Batrachoseps nigriventris,Least Concern (LC),Black-bellied Slender Salamander,Plethodontidae,Caudata
Batrachoseps pacificus,Least Concern (LC),Channel Islands Slender Salamander,Plethodontidae,Caudata
Batrachoseps regius,Vulnerable (VU),Kings River Slender Salamander,Plethodontidae,Caudata
Batrachoseps relictus,Data Deficient (DD),Relictual Slender Salamander,Plethodontidae,Caudata
Batrachoseps robustus,Near Threatened (NT),Kern Plateau Salamander,Plethodontidae,Caudata
Batrachoseps simatus,Vulnerable (VU),Kern Canyon Slender Salamander,Plethodontidae,Caudata
Batrachoseps stebbinsi,Vulnerable (VU),Tehachapi Slender Salamander,Plethodontidae,Caudata
Batrachoseps wrighti,Vulnerable (VU),Oregon Slender Salamander,Plethodontidae,Caudata
Craugastor augusti,Least Concern (LC),Barking Frog,Craugastoridae,Anura
Cryptobranchus alleganiensis,Near Threatened (NT),Hellbender,Cryptobranchidae,Caudata
Dendrobates auratus,Least Concern (LC),Green Poison Frog,Dendrobatidae,Anura
Desmognathus abditus,Near Threatened (NT),Cumberland Dusky Salamander,Plethodontidae,Caudata
Desmognathus aeneus,Near Threatened (NT),Seepage Salamander,Plethodontidae,Caudata
Desmognathus apalachicolae,Least Concern (LC),Apalachicola Dusky Salamander,Plethodontidae,Caudata
Desmognathus auriculatus,Least Concern (LC),Southern Dusky Salamander,Plethodontidae,Caudata
Desmognathus brimleyorum,Least Concern (LC),Ouachita Dusky Salamander,Plethodontidae,Caudata
Desmognathus carolinensis,Least Concern (LC),Carolina Mountain Dusky Salamander,Plethodontidae,Caudata
Desmognathus folkertsi,Data Deficient (DD),Dwarf Black-bellied Salamander,Plethodontidae,Caudata
Desmognathus fuscus,Least Concern (LC),Northern Dusky Salamander,Plethodontidae,Caudata
Desmognathus imitator,Least Concern (LC),Imitator Salamander,Plethodontidae,Caudata
Desmognathus marmoratus,Least Concern (LC),Shovel-nosed Salamander,Plethodontidae,Caudata
Desmognathus monticola,Least Concern (LC),Seal Salamander,Plethodontidae,Caudata
Desmognathus ochrophaeus,Least Concern (LC),Allegheny Mountain Dusky Salamander,Plethodontidae,Caudata
Desmognathus ocoee,Least Concern (LC),Ocoee Salamander,Plethodontidae,Caudata
Desmognathus orestes,Least Concern (LC),Blue Ridge Dusky Salamander,Plethodontidae,Caudata
Desmognathus quadramaculatus,Least Concern (LC),Black-bellied Salamander,Plethodontidae,Caudata
Desmognathus santeetlah,Least Concern (LC),Santeetlah Dusky Salamander,Plethodontidae,Caudata
Desmognathus welteri,Least Concern (LC),Black Mountain Dusky Salamander,Plethodontidae,Caudata
Desmognathus wrighti,Least Concern (LC),Pygmy Salamander,Plethodontidae,Caudata
Dicamptodon aterrimus,Least Concern (LC),Idaho Giant Salamander,Dicamptodontidae,Caudata
Dicamptodon copei,Least Concern (LC),Cope's Giant Salamander,Dicamptodontidae,Caudata
Dicamptodon ensatus,Near Threatened (NT),California Giant Salamander,Dicamptodontidae,Caudata
Dicamptodon tenebrosus,Least Concern (LC),Pacific Giant Salamander,Dicamptodontidae,Caudata
Eleutherodactylus coqui,Least Concern (LC),Puerto Rican Coqui,Eleutherodactylidae,Anura
Eleutherodactylus cystignathoides,Least Concern (LC),Rio Grande Chirping Frog,Eleutherodactylidae,Anura
